id,marca,modelo,versao,ano,categoria,motor,cilindrada,potencia_cv,torque_kgfm,cambio,tracao,portas,lugares,porta_malas_litros,combustivel,tanque_litros,fonte_ficha
fiat_mobi,Fiat,Mobi,Trekking 1.0 Flex,2024,hatch_popular,1.0 Firefly aspirado,1.0,75,10.5,Manual 5 marchas,Dianteira,5,5,235,flex,47,curadoria
fiat_argo,Fiat,Argo,1.0 Firefly Flex,2024,hatch_popular,1.0 Firefly aspirado,1.0,72,10.4,Manual 5 marchas,Dianteira,5,5,300,flex,47,curadoria
fiat_strada,Fiat,Strada,Freedom 1.3 Cabine Dupla,2024,picape_compacta,1.3 Firefly aspirado,1.3,107,13.7,Manual 5 marchas,Dianteira,4,5,844,flex,55,curadoria
vw_polo,Volkswagen,Polo,1.0 MPI Flex,2024,hatch_popular,1.0 MPI aspirado,1.0,84,10.4,Manual 5 marchas,Dianteira,5,5,300,flex,52,curadoria
vw_nivus,Volkswagen,Nivus,Comfortline 200 TSI,2024,suv_compacto,1.0 TSI turbo,1.0,128,20.4,Automatico 6 marchas,Dianteira,5,5,415,flex,52,curadoria
vw_tcross,Volkswagen,T-Cross,Sense 200 TSI,2024,suv_compacto,1.0 TSI turbo,1.0,128,20.4,Automatico 6 marchas,Dianteira,5,5,420,flex,52,curadoria
gm_onix,Chevrolet,Onix,LT 1.0 Turbo,2024,hatch_popular,1.0 turbo,1.0,116,16.8,Automatico 6 marchas,Dianteira,5,5,275,flex,44,curadoria
gm_tracker,Chevrolet,Tracker,LT 1.0 Turbo,2024,suv_compacto,1.0 turbo,1.0,116,16.8,Automatico 6 marchas,Dianteira,5,5,393,flex,44,curadoria
hyundai_hb20,Hyundai,HB20,Sense 1.0 Flex,2024,hatch_popular,1.0 aspirado,1.0,80,10.2,Manual 5 marchas,Dianteira,5,5,300,flex,50,curadoria
hyundai_creta,Hyundai,Creta,Comfort 1.0 Turbo,2024,suv_compacto,1.0 turbo,1.0,120,17.5,Automatico 6 marchas,Dianteira,5,5,422,flex,50,curadoria
renault_kwid,Renault,Kwid,Zen 1.0 Flex,2024,hatch_entrada,1.0 SCe aspirado,1.0,71,10.0,Manual 5 marchas,Dianteira,5,5,290,flex,38,curadoria
renault_duster,Renault,Duster,Iconic 1.6 CVT,2024,suv_compacto,1.6 SCe aspirado,1.6,120,16.2,Automatico CVT,Dianteira,5,5,414,flex,50,curadoria
nissan_kicks,Nissan,Kicks,Sense 1.0 Turbo,2024,suv_compacto,1.0 turbo,1.0,125,22.4,Automatico DCT,Dianteira,5,5,432,flex,41,curadoria
toyota_corolla,Toyota,Corolla,GLi 2.0 Flex,2024,sedan_medio,2.0 Dynamic Force,2.0,177,21.4,Automatico CVT,Dianteira,4,5,470,flex,50,curadoria
toyota_corolla_cross,Toyota,Corolla Cross,XR 2.0 Flex,2024,suv_medio,2.0 Dynamic Force,2.0,177,21.4,Automatico CVT,Dianteira,5,5,440,flex,47,curadoria
toyota_hilux,Toyota,Hilux,CD SRV 4x4 2.8 Diesel,2024,picape_media,2.8 turbodiesel,2.8,204,51.0,Automatico 6 marchas,4x4,4,5,1000,diesel,80,curadoria
honda_city,Honda,City,Sedan EX 1.5 Flex,2024,sedan_compacto,1.5 i-VTEC aspirado,1.5,126,15.5,Automatico CVT,Dianteira,4,5,519,flex,40,curadoria
honda_hrv,Honda,HR-V,EX 1.5 Flex,2024,suv_compacto,1.5 i-VTEC aspirado,1.5,126,15.5,Automatico CVT,Dianteira,5,5,354,flex,48,curadoria
jeep_renegade,Jeep,Renegade,Longitude T270 1.3 Turbo,2024,suv_compacto,1.3 turbo,1.3,185,27.5,Automatico 6 marchas,Dianteira,5,5,320,flex,55,curadoria
jeep_compass,Jeep,Compass,Serie S T270 1.3 Turbo,2024,suv_medio,1.3 turbo,1.3,185,27.5,Automatico 6 marchas,Dianteira,5,5,410,flex,55,curadoria
byd_dolphin,BYD,Dolphin,GS 180 EV,2024,eletrico_hatch,Motor eletrico sincrono,,95,18.4,Automatico reducao unica,Dianteira,5,5,345,eletrico,,"curadoria; specs da versao GS 180, conforme PBE Veicular"
byd_seal,BYD,Seal,AWD GS 590 EV,2024,eletrico_sedan,Dois motores eletricos sincronos,,530,68.4,Automatico reducao unica,Integral,4,5,400,eletrico,,curadoria
bmw_320i,BMW,Serie 3,320i Active Flex 2.0 Turbo,2024,sedan_premium,2.0 turbo,2.0,184,30.6,Automatico 8 marchas,Traseira,4,5,480,flex,59,curadoria
bmw_x1,BMW,X1,sDrive20i 2.0 Turbo,2024,suv_premium,2.0 turbo,2.0,192,28.6,Automatico 7 marchas,Dianteira,5,5,540,gasolina,54,curadoria
mercedes_c200,Mercedes-Benz,Classe C,C 200 AMG Line 1.5 Turbo Hibrido,2024,sedan_premium,1.5 turbo com sistema hibrido leve,1.5,204,30.6,Automatico 9 marchas,Traseira,4,5,455,hibrido,66,curadoria
porsche_718,Porsche,718 Boxster,GTS 4.0 Conversivel,2024,esportivo_conversivel,4.0 boxer aspirado,4.0,400,43.8,Automatico PDK 7 marchas,Traseira,2,2,275,gasolina,64,curadoria
porsche_911,Porsche,911,Carrera 3.0 Biturbo,2024,esportivo,3.0 boxer biturbo,3.0,385,45.9,Automatico PDK 8 marchas,Traseira,2,4,132,gasolina,67,curadoria
ferrari_296,Ferrari,296,GTB Plug-in Hibrido,2024,superesportivo,3.0 V6 biturbo com motor eletrico,3.0,830,75.5,Automatico DCT 8 marchas,Traseira,2,2,201,hibrido_plugin,65,curadoria
